자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
강남구,2017-01,1387,687,363
강남구,2017-02,1444,685,277
강남구,2017-03,1395,677,290
강남구,2017-04,1434,664,272
강남구,2017-05,1466,700,298
강남구,2017-06,1401,719,269
강남구,2017-07,1483,732,307
강남구,2017-08,1405,727,290
강남구,2017-09,1459,785,276
강남구,2017-10,1487,782,293
강남구,2017-11,1552,808,261
강남구,2017-12,1579,811,260
강남구,2018-01,1601,786,297
강남구,2018-02,1564,805,219
강남구,2018-03,1684,791,285
강남구,2018-04,1638,803,266
강남구,2018-05,1631,730,258
강남구,2018-06,1604,792,242
강남구,2018-07,1823,802,229
강남구,2018-08,1864,806,251
강남구,2018-09,1804,803,214
강남구,2018-10,1713,820,231
강남구,2018-11,1674,834,222
강남구,2018-12,1476,825,226
강남구,2019-01,1747,800,271
강남구,2019-02,1729,767,219
강남구,2019-03,1771,765,237
강남구,2019-04,1967,762,265
강남구,2019-05,2024,791,230
강남구,2019-06,2014,821,223
강남구,2019-07,2024,822,252
강남구,2019-08,2141,822,215
강남구,2019-09,2168,859,218
강남구,2019-10,2082,906,211
강남구,2019-11,2092,932,228
강남구,2019-12,2090,897,180
강남구,2020-01,1849,868,234
강남구,2020-02,2118,894,181
강남구,2020-03,1996,899,208
강남구,2020-04,2033,894,213
강남구,2020-05,1965,849,222
강남구,2020-06,2125,931,206
강남구,2020-07,2002,976,189
강남구,2020-08,2170,975,179
강남구,2020-09,2173,982,181
강남구,2020-10,2129,1034,193
강남구,2020-11,2257,1044,171
강남구,2020-12,2278,1080,179
강남구,2021-01,2271,1057,189
강남구,2021-02,2380,1003,182
강남구,2021-03,2130,1008,231
강남구,2021-04,2283,973,196
강남구,2021-05,2183,1037,164
강남구,2021-06,2398,1053,188
강남구,2021-07,2587,1070,189
강남구,2021-08,2382,1019,190
강남구,2021-09,2440,1107,182
강남구,2021-10,2575,1132,185
강남구,2021-11,2294,1120,168
강남구,2021-12,2499,1093,189
강동구,2017-01,732,484,287
강동구,2017-02,701,471,285
강동구,2017-03,698,415,287
강동구,2017-04,756,467,262
강동구,2017-05,715,465,235
