자치구,계약일자,단위면적(㎡)당 전세가(만원)
강남구,2017-01,687
강남구,2017-02,685
강남구,2017-03,677
강남구,2017-04,664
강남구,2017-05,700
강남구,2017-06,719
강남구,2017-07,732
강남구,2017-08,727
강남구,2017-09,785
강남구,2017-10,782
강남구,2017-11,808
강남구,2017-12,811
강남구,2018-01,786
강남구,2018-02,805
강남구,2018-03,791
강남구,2018-04,803
강남구,2018-05,730
강남구,2018-06,792
강남구,2018-07,802
강남구,2018-08,806
강남구,2018-09,803
강남구,2018-10,820
강남구,2018-11,834
강남구,2018-12,825
강남구,2019-01,800
강남구,2019-02,767
강남구,2019-03,765
강남구,2019-04,762
강남구,2019-05,791
강남구,2019-06,821
강남구,2019-07,822
강남구,2019-08,822
강남구,2019-09,859
강남구,2019-10,906
강남구,2019-11,932
강남구,2019-12,897
강남구,2020-01,868
강남구,2020-02,894
강남구,2020-03,899
강남구,2020-04,894
강남구,2020-05,849
강남구,2020-06,931
강남구,2020-07,976
강남구,2020-08,975
강남구,2020-09,982
강남구,2020-10,1034
강남구,2020-11,1044
강남구,2020-12,1080
강남구,2021-01,1057
강남구,2021-02,1003
강남구,2021-03,1008
강남구,2021-04,973
강남구,2021-05,1037
강남구,2021-06,1053
강남구,2021-07,1070
강남구,2021-08,1019
강남구,2021-09,1107
강남구,2021-10,1132
강남구,2021-11,1120
강남구,2021-12,1093
강동구,2017-01,484
강동구,2017-02,471
강동구,2017-03,415
강동구,2017-04,467
강동구,2017-05,465
강동구,2017-06,443
강동구,2017-07,516
강동구,2017-08,496
강동구,2017-09,509
강동구,2017-10,546
강동구,2017-11,557
강동구,2017-12,534
강동구,2018-01,562
강동구,2018-02,532
강동구,2018-03,543
강동구,2018-04,540
강동구,2018-05,537
강동구,2018-06,527
강동구,2018-07,551
강동구,2018-08,554
강동구,2018-09,549
강동구,2018-10,559
강동구,2018-11,581
강동구,2018-12,597
강동구,2019-01,584
강동구,2019-02,549
강동구,2019-03,400
강동구,2019-04,546
강동구,2019-05,508
강동구,2019-06,521
강동구,2019-07,574
강동구,2019-08,574
강동구,2019-09,563
강동구,2019-10,607
강동구,2019-11,579
강동구,2019-12,568
강동구,2020-01,608
강동구,2020-02,607
강동구,2020-03,621
강동구,2020-04,608
강동구,2020-05,633
강동구,2020-06,633
강동구,2020-07,672
강동구,2020-08,716
강동구,2020-09,743
강동구,2020-10,668
강동구,2020-11,772
강동구,2020-12,780
강동구,2021-01,779
강동구,2021-02,727
강동구,2021-03,538
강동구,2021-04,722
강동구,2021-05,649
강동구,2021-06,677
강동구,2021-07,763
강동구,2021-08,703
강동구,2021-09,698
강동구,2021-10,744
강동구,2021-11,749
강동구,2021-12,773
강북구,2017-01,382
강북구,2017-02,379
강북구,2017-03,379
강북구,2017-04,383
강북구,2017-05,382
강북구,2017-06,391
강북구,2017-07,379
강북구,2017-08,392
강북구,2017-09,367
강북구,2017-10,371
강북구,2017-11,396
강북구,2017-12,417
