자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
강동구,2017-01,732,484,287
강동구,2017-02,701,471,285
강동구,2017-03,698,415,287
강동구,2017-04,756,467,262
강동구,2017-05,715,465,235
강동구,2017-06,714,443,255
강동구,2017-07,768,516,244
강동구,2017-08,744,496,244
강동구,2017-09,770,509,240
강동구,2017-10,769,546,209
강동구,2017-11,816,557,239
강동구,2017-12,813,534,181
강동구,2018-01,830,562,262
강동구,2018-02,814,532,218
강동구,2018-03,826,543,258
강동구,2018-04,874,540,242
강동구,2018-05,819,537,218
강동구,2018-06,814,527,215
강동구,2018-07,867,551,245
강동구,2018-08,911,554,211
강동구,2018-09,915,549,210
강동구,2018-10,874,559,212
강동구,2018-11,874,581,196
강동구,2018-12,816,597,172
강동구,2019-01,984,584,258
강동구,2019-02,939,549,182
강동구,2019-03,869,400,239
강동구,2019-04,931,546,195
강동구,2019-05,976,508,186
강동구,2019-06,1003,521,204
강동구,2019-07,990,574,173
강동구,2019-08,1036,574,228
강동구,2019-09,1028,563,185
강동구,2019-10,1002,607,219
강동구,2019-11,1046,579,198
강동구,2019-12,1018,568,170
강동구,2020-01,1010,608,230
강동구,2020-02,999,607,201
강동구,2020-03,1005,621,202
강동구,2020-04,982,608,207
강동구,2020-05,1037,633,201
강동구,2020-06,1164,633,224
강동구,2020-07,1195,672,202
강동구,2020-08,1241,716,232
강동구,2020-09,1256,743,241
강동구,2020-10,1251,668,207
강동구,2020-11,1354,772,201
강동구,2020-12,1419,780,187
강동구,2021-01,1469,779,202
강동구,2021-02,1387,727,230
강동구,2021-03,1309,538,269
강동구,2021-04,1321,722,240
강동구,2021-05,1460,649,249
강동구,2021-06,1452,677,256
강동구,2021-07,1497,763,249
강동구,2021-08,1548,703,258
강동구,2021-09,1554,698,224
강동구,2021-10,1434,744,229
강동구,2021-11,1299,749,224
강동구,2021-12,1442,773,205
