자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
강서구,2017-01,579,437,423
강서구,2017-02,601,430,396
강서구,2017-03,609,443,438
강서구,2017-04,617,438,410
강서구,2017-05,650,445,455
강서구,2017-06,646,457,368
강서구,2017-07,662,473,399
강서구,2017-08,635,471,415
강서구,2017-09,674,478,399
강서구,2017-10,696,453,371
강서구,2017-11,711,434,384
강서구,2017-12,706,465,342
강서구,2018-01,711,490,446
강서구,2018-02,717,493,361
강서구,2018-03,686,466,394
강서구,2018-04,692,475,382
강서구,2018-05,710,464,359
강서구,2018-06,715,481,312
강서구,2018-07,747,429,333
강서구,2018-08,766,438,363
강서구,2018-09,789,484,345
강서구,2018-10,755,481,332
강서구,2018-11,730,477,339
강서구,2018-12,685,488,294
강서구,2019-01,742,510,374
강서구,2019-02,748,486,312
강서구,2019-03,740,497,347
강서구,2019-04,745,507,350
강서구,2019-05,790,519,333
강서구,2019-06,814,520,305
강서구,2019-07,879,515,303
강서구,2019-08,831,544,323
강서구,2019-09,820,533,302
강서구,2019-10,883,502,313
강서구,2019-11,904,504,328
강서구,2019-12,894,519,251
강서구,2020-01,857,543,365
강서구,2020-02,901,546,271
강서구,2020-03,862,563,325
강서구,2020-04,793,543,314
강서구,2020-05,907,554,297
강서구,2020-06,953,556,248
강서구,2020-07,979,473,307
강서구,2020-08,1018,456,284
강서구,2020-09,1033,544,265
강서구,2020-10,1027,531,245
강서구,2020-11,1036,537,227
강서구,2020-12,1091,620,197
강서구,2021-01,1165,615,237
강서구,2021-02,1064,578,249
강서구,2021-03,1052,642,311
강서구,2021-04,1130,613,275
강서구,2021-05,1173,637,273
강서구,2021-06,1238,625,282
강서구,2021-07,1245,654,269
강서구,2021-08,1253,621,248
강서구,2021-09,1235,651,218
강서구,2021-10,1228,611,205
강서구,2021-11,1054,584,241
강서구,2021-12,1114,634,203
