자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
금천구,2017-01,470,338,131
금천구,2017-02,466,327,118
금천구,2017-03,468,322,148
금천구,2017-04,477,347,105
금천구,2017-05,462,333,121
금천구,2017-06,456,351,107
금천구,2017-07,465,355,128
금천구,2017-08,480,351,133
금천구,2017-09,506,378,133
금천구,2017-10,460,382,142
금천구,2017-11,498,384,121
금천구,2017-12,527,374,111
금천구,2018-01,498,360,134
금천구,2018-02,496,405,123
금천구,2018-03,506,399,118
금천구,2018-04,532,346,91
금천구,2018-05,493,359,115
금천구,2018-06,529,380,110
금천구,2018-07,523,383,98
금천구,2018-08,522,436,130
금천구,2018-09,497,446,96
금천구,2018-10,528,461,101
금천구,2018-11,537,449,125
금천구,2018-12,587,464,73
금천구,2019-01,550,428,130
금천구,2019-02,511,396,102
금천구,2019-03,544,379,108
금천구,2019-04,522,375,95
금천구,2019-05,649,439,91
금천구,2019-06,615,493,86
금천구,2019-07,615,410,95
금천구,2019-08,668,407,97
금천구,2019-09,635,394,88
금천구,2019-10,627,430,93
금천구,2019-11,641,420,90
금천구,2019-12,646,432,79
금천구,2020-01,663,473,117
금천구,2020-02,647,436,87
금천구,2020-03,671,411,74
금천구,2020-04,621,414,99
금천구,2020-05,637,439,68
금천구,2020-06,676,457,85
금천구,2020-07,757,459,104
금천구,2020-08,816,486,102
금천구,2020-09,809,527,104
금천구,2020-10,729,579,92
금천구,2020-11,878,659,88
금천구,2020-12,890,623,72
금천구,2021-01,894,605,93
금천구,2021-02,887,596,82
금천구,2021-03,857,546,93
금천구,2021-04,872,571,83
금천구,2021-05,876,554,73
금천구,2021-06,934,572,109
금천구,2021-07,947,560,87
금천구,2021-08,924,630,90
금천구,2021-09,994,580,86
금천구,2021-10,1043,563,67
금천구,2021-11,886,590,76
금천구,2021-12,898,572,85
