자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
노원구,2017-01,504,370,358
노원구,2017-02,510,367,289
노원구,2017-03,513,366,316
노원구,2017-04,517,363,258
노원구,2017-05,532,362,281
노원구,2017-06,540,369,300
노원구,2017-07,553,376,283
노원구,2017-08,548,380,312
노원구,2017-09,557,368,304
노원구,2017-10,559,374,288
노원구,2017-11,573,377,254
노원구,2017-12,588,387,251
노원구,2018-01,582,385,298
노원구,2018-02,589,379,267
노원구,2018-03,578,379,255
노원구,2018-04,579,369,248
노원구,2018-05,568,363,230
노원구,2018-06,579,372,212
노원구,2018-07,604,369,242
노원구,2018-08,607,374,225
노원구,2018-09,635,381,201
노원구,2018-10,662,387,256
노원구,2018-11,643,392,214
노원구,2018-12,656,393,203
노원구,2019-01,618,382,256
노원구,2019-02,650,381,203
노원구,2019-03,632,368,233
노원구,2019-04,650,369,225
노원구,2019-05,676,371,219
노원구,2019-06,700,377,191
노원구,2019-07,680,379,244
노원구,2019-08,691,382,201
노원구,2019-09,691,389,215
노원구,2019-10,709,392,229
노원구,2019-11,740,410,201
노원구,2019-12,754,408,187
노원구,2020-01,757,404,231
노원구,2020-02,755,403,192
노원구,2020-03,759,395,199
노원구,2020-04,738,391,190
노원구,2020-05,776,391,187
노원구,2020-06,804,402,173
노원구,2020-07,877,408,192
노원구,2020-08,899,418,180
노원구,2020-09,947,443,179
노원구,2020-10,944,452,187
노원구,2020-11,1001,464,165
노원구,2020-12,1036,487,177
노원구,2021-01,1045,469,171
노원구,2021-02,1038,477,173
노원구,2021-03,1074,467,230
노원구,2021-04,1123,464,197
노원구,2021-05,1118,470,169
노원구,2021-06,1125,477,179
노원구,2021-07,1148,489,241
노원구,2021-08,1170,487,187
노원구,2021-09,1221,482,180
노원구,2021-10,1191,484,167
노원구,2021-11,1232,497,167
노원구,2021-12,1172,501,170
