ÀÚÄ¡±¸, ÀÏÀÚ, ´ÜÀ§¸éÀû(§³)´ç ¸Å¸Å°¡(¸¸¿ø),´ÜÀ§¸éÀû(§³)´ç Àü¼¼°¡(¸¸¿ø), Ãâ»ýÀÚ ¼ö
µµºÀ±¸,2017-01,439,335,178
µµºÀ±¸,2017-02,446,341,170
µµºÀ±¸,2017-03,448,334,187
µµºÀ±¸,2017-04,459,333,157
µµºÀ±¸,2017-05,469,333,159
µµºÀ±¸,2017-06,475,338,160
µµºÀ±¸,2017-07,479,351,141
µµºÀ±¸,2017-08,455,345,177
µµºÀ±¸,2017-09,471,346,148
µµºÀ±¸,2017-10,478,348,152
µµºÀ±¸,2017-11,486,350,126
µµºÀ±¸,2017-12,497,346,151
µµºÀ±¸,2018-01,486,369,160
µµºÀ±¸,2018-02,505,378,131
µµºÀ±¸,2018-03,492,356,136
µµºÀ±¸,2018-04,479,346,153
µµºÀ±¸,2018-05,498,347,132
µµºÀ±¸,2018-06,514,342,142
µµºÀ±¸,2018-07,517,346,140
µµºÀ±¸,2018-08,501,359,157
µµºÀ±¸,2018-09,514,348,129
µµºÀ±¸,2018-10,534,340,141
µµºÀ±¸,2018-11,515,344,150
µµºÀ±¸,2018-12,535,357,136
µµºÀ±¸,2019-01,527,351,130
µµºÀ±¸,2019-02,544,346,124
µµºÀ±¸,2019-03,525,344,117
µµºÀ±¸,2019-04,545,342,137
µµºÀ±¸,2019-05,548,344,99
µµºÀ±¸,2019-06,582,350,151
µµºÀ±¸,2019-07,591,344,105
µµºÀ±¸,2019-08,575,356,133
µµºÀ±¸,2019-09,601,354,124
µµºÀ±¸,2019-10,600,356,148
µµºÀ±¸,2019-11,631,363,111
µµºÀ±¸,2019-12,639,362,104
µµºÀ±¸,2020-01,640,370,121
µµºÀ±¸,2020-02,631,367,98
µµºÀ±¸,2020-03,605,362,111
µµºÀ±¸,2020-04,607,359,110
µµºÀ±¸,2020-05,596,368,113
µµºÀ±¸,2020-06,628,375,110
µµºÀ±¸,2020-07,683,380,94
µµºÀ±¸,2020-08,724,385,92
µµºÀ±¸,2020-09,748,412,108
µµºÀ±¸,2020-10,737,408,92
µµºÀ±¸,2020-11,811,425,80
µµºÀ±¸,2020-12,831,438,89
µµºÀ±¸,2021-01,850,441,83
µµºÀ±¸,2021-02,826,436,83
µµºÀ±¸,2021-03,883,430,101
µµºÀ±¸,2021-04,907,457,93
µµºÀ±¸,2021-05,910,462,116
µµºÀ±¸,2021-06,887,484,92
µµºÀ±¸,2021-07,893,469,109
µµºÀ±¸,2021-08,990,443,103
µµºÀ±¸,2021-09,953,460,109
µµºÀ±¸,2021-10,944,441,82
µµºÀ±¸,2021-11,993,464,98
µµºÀ±¸,2021-12,1015,454,72
