자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
동대문구,2017-01,573,459,202
동대문구,2017-02,583,423,194
동대문구,2017-03,571,423,206
동대문구,2017-04,584,438,180
동대문구,2017-05,603,438,153
동대문구,2017-06,605,478,166
동대문구,2017-07,605,453,178
동대문구,2017-08,680,464,166
동대문구,2017-09,621,442,179
동대문구,2017-10,618,477,170
동대문구,2017-11,629,469,186
동대문구,2017-12,648,497,137
동대문구,2018-01,630,504,176
동대문구,2018-02,622,492,143
동대문구,2018-03,632,496,169
동대문구,2018-04,651,492,169
동대문구,2018-05,664,490,138
동대문구,2018-06,713,534,141
동대문구,2018-07,717,528,185
동대문구,2018-08,780,513,153
동대문구,2018-09,770,523,181
동대문구,2018-10,741,524,141
동대문구,2018-11,727,551,142
동대문구,2018-12,751,506,148
동대문구,2019-01,780,541,170
동대문구,2019-02,779,548,148
동대문구,2019-03,755,543,162
동대문구,2019-04,793,551,164
동대문구,2019-05,774,515,158
동대문구,2019-06,839,510,150
동대문구,2019-07,832,498,160
동대문구,2019-08,863,529,147
동대문구,2019-09,874,526,169
동대문구,2019-10,843,534,174
동대문구,2019-11,852,533,149
동대문구,2019-12,871,562,133
동대문구,2020-01,843,571,185
동대문구,2020-02,876,582,139
동대문구,2020-03,864,563,138
동대문구,2020-04,923,575,156
동대문구,2020-05,867,590,127
동대문구,2020-06,979,607,147
동대문구,2020-07,999,623,117
동대문구,2020-08,1086,642,141
동대문구,2020-09,1075,634,157
동대문구,2020-10,1072,635,132
동대문구,2020-11,1181,645,124
동대문구,2020-12,1207,693,139
동대문구,2021-01,1183,718,133
동대문구,2021-02,1157,737,115
동대문구,2021-03,1132,715,155
동대문구,2021-04,1075,703,130
동대문구,2021-05,1046,662,149
동대문구,2021-06,1220,693,138
동대문구,2021-07,1173,695,133
동대문구,2021-08,1236,672,146
동대문구,2021-09,1318,630,128
동대문구,2021-10,1269,675,135
동대문구,2021-11,1202,703,120
동대문구,2021-12,1163,716,128
