자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
동작구,2017-01,698,553,261
동작구,2017-02,701,549,212
동작구,2017-03,721,530,268
동작구,2017-04,725,552,266
동작구,2017-05,723,532,227
동작구,2017-06,728,569,237
동작구,2017-07,752,554,219
동작구,2017-08,760,553,236
동작구,2017-09,767,572,263
동작구,2017-10,784,583,218
동작구,2017-11,783,575,212
동작구,2017-12,807,570,195
동작구,2018-01,817,585,220
동작구,2018-02,842,588,210
동작구,2018-03,838,575,221
동작구,2018-04,830,574,209
동작구,2018-05,837,590,235
동작구,2018-06,887,596,178
동작구,2018-07,907,589,213
동작구,2018-08,956,629,209
동작구,2018-09,978,621,177
동작구,2018-10,950,627,182
동작구,2018-11,952,603,185
동작구,2018-12,929,611,178
동작구,2019-01,891,609,204
동작구,2019-02,863,580,184
동작구,2019-03,866,583,201
동작구,2019-04,984,582,203
동작구,2019-05,1009,573,188
동작구,2019-06,1042,571,185
동작구,2019-07,1079,589,196
동작구,2019-08,1060,591,184
동작구,2019-09,1046,606,189
동작구,2019-10,1097,622,192
동작구,2019-11,1110,635,155
동작구,2019-12,1093,641,146
동작구,2020-01,1065,622,221
동작구,2020-02,1113,643,153
동작구,2020-03,1091,650,193
동작구,2020-04,989,651,160
동작구,2020-05,1127,655,180
동작구,2020-06,1177,658,163
동작구,2020-07,1243,686,163
동작구,2020-08,1267,686,148
동작구,2020-09,1275,722,204
동작구,2020-10,1313,712,153
동작구,2020-11,1393,753,153
동작구,2020-12,1473,749,153
동작구,2021-01,1392,725,170
동작구,2021-02,1436,728,159
동작구,2021-03,1334,741,164
동작구,2021-04,1449,779,176
동작구,2021-05,2738,841,147
동작구,2021-06,1423,799,156
동작구,2021-07,1511,805,147
동작구,2021-08,1550,806,160
동작구,2021-09,1477,767,137
동작구,2021-10,1512,790,150
동작구,2021-11,1542,795,151
동작구,2021-12,1380,813,140
