자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
마포구,2017-01,774,576,263
마포구,2017-02,777,571,265
마포구,2017-03,779,575,253
마포구,2017-04,811,559,270
마포구,2017-05,832,581,245
마포구,2017-06,833,584,213
마포구,2017-07,856,591,251
마포구,2017-08,840,600,189
마포구,2017-09,863,588,235
마포구,2017-10,871,563,203
마포구,2017-11,877,614,216
마포구,2017-12,880,594,209
마포구,2018-01,920,635,228
마포구,2018-02,929,622,213
마포구,2018-03,924,604,227
마포구,2018-04,938,613,197
마포구,2018-05,960,617,217
마포구,2018-06,948,607,198
마포구,2018-07,1053,638,184
마포구,2018-08,1105,617,221
마포구,2018-09,1075,584,198
마포구,2018-10,1092,665,218
마포구,2018-11,999,651,236
마포구,2018-12,798,590,191
마포구,2019-01,1108,665,235
마포구,2019-02,1142,664,207
마포구,2019-03,1138,637,226
마포구,2019-04,1106,633,203
마포구,2019-05,1153,626,184
마포구,2019-06,1208,637,180
마포구,2019-07,1220,665,198
마포구,2019-08,1221,678,191
마포구,2019-09,1194,669,169
마포구,2019-10,1241,665,212
마포구,2019-11,1283,672,163
마포구,2019-12,1232,674,166
마포구,2020-01,1176,695,163
마포구,2020-02,1209,684,172
마포구,2020-03,1216,624,183
마포구,2020-04,1171,655,178
마포구,2020-05,1223,656,169
마포구,2020-06,1357,707,154
마포구,2020-07,1327,727,168
마포구,2020-08,1385,701,183
마포구,2020-09,1412,650,174
마포구,2020-10,1394,754,166
마포구,2020-11,1482,769,147
마포구,2020-12,1505,720,158
마포구,2021-01,1537,775,147
마포구,2021-02,1476,790,176
마포구,2021-03,1498,812,168
마포구,2021-04,1482,800,167
마포구,2021-05,1461,816,189
마포구,2021-06,1558,827,154
마포구,2021-07,1589,856,169
마포구,2021-08,1635,804,156
마포구,2021-09,1821,786,156
마포구,2021-10,1699,774,173
마포구,2021-11,1598,793,163
마포구,2021-12,1565,799,161
