자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
서초구,2017-01,1137,698,296
서초구,2017-02,1140,687,276
서초구,2017-03,1162,625,279
서초구,2017-04,1180,677,257
서초구,2017-05,1237,721,257
서초구,2017-06,1244,722,260
서초구,2017-07,1304,740,242
서초구,2017-08,1170,680,254
서초구,2017-09,1250,738,261
서초구,2017-10,1263,745,241
서초구,2017-11,1344,699,217
서초구,2017-12,1302,737,199
서초구,2018-01,1377,730,270
서초구,2018-02,1322,669,239
서초구,2018-03,1272,730,271
서초구,2018-04,1300,733,223
서초구,2018-05,1402,752,253
서초구,2018-06,1467,774,226
서초구,2018-07,1577,816,241
서초구,2018-08,1687,774,248
서초구,2018-09,1569,839,276
서초구,2018-10,1357,829,229
서초구,2018-11,1530,868,242
서초구,2018-12,1347,837,201
서초구,2019-01,1298,790,255
서초구,2019-02,1508,796,196
서초구,2019-03,1651,708,229
서초구,2019-04,1597,740,206
서초구,2019-05,1730,737,186
서초구,2019-06,1796,746,191
서초구,2019-07,1731,803,214
서초구,2019-08,1757,728,204
서초구,2019-09,1830,773,203
서초구,2019-10,1821,789,232
서초구,2019-11,1760,810,222
서초구,2019-12,1769,838,174
서초구,2020-01,1402,840,237
서초구,2020-02,1586,782,193
서초구,2020-03,1593,859,175
서초구,2020-04,1844,859,193
서초구,2020-05,1875,937,176
서초구,2020-06,1868,946,201
서초구,2020-07,1874,1007,183
서초구,2020-08,1902,924,167
서초구,2020-09,1957,1001,194
서초구,2020-10,2072,1026,187
서초구,2020-11,2130,1016,162
서초구,2020-12,2145,1055,170
서초구,2021-01,2195,1012,188
서초구,2021-02,2076,985,180
서초구,2021-03,2000,845,215
서초구,2021-04,2188,961,179
서초구,2021-05,2160,1086,170
서초구,2021-06,2215,975,183
서초구,2021-07,2341,1035,174
서초구,2021-08,2288,744,212
서초구,2021-09,2373,1059,196
서초구,2021-10,2440,1060,196
서초구,2021-11,2236,984,158
서초구,2021-12,2079,1056,162
