자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
양천구,2017-01,599,536,276
양천구,2017-02,631,518,296
양천구,2017-03,661,506,296
양천구,2017-04,739,497,241
양천구,2017-05,805,505,221
양천구,2017-06,762,477,226
양천구,2017-07,806,533,255
양천구,2017-08,678,429,244
양천구,2017-09,738,501,210
양천구,2017-10,810,483,220
양천구,2017-11,914,555,213
양천구,2017-12,838,549,178
양천구,2018-01,795,534,218
양천구,2018-02,720,536,208
양천구,2018-03,664,532,196
양천구,2018-04,668,505,187
양천구,2018-05,714,536,235
양천구,2018-06,776,543,193
양천구,2018-07,929,542,181
양천구,2018-08,951,548,196
양천구,2018-09,827,574,202
양천구,2018-10,785,555,197
양천구,2018-11,781,590,194
양천구,2018-12,747,595,180
양천구,2019-01,850,566,210
양천구,2019-02,825,554,203
양천구,2019-03,876,529,226
양천구,2019-04,939,521,209
양천구,2019-05,1058,537,191
양천구,2019-06,1149,507,153
양천구,2019-07,1027,555,190
양천구,2019-08,946,465,174
양천구,2019-09,1041,534,171
양천구,2019-10,1079,557,193
양천구,2019-11,1086,592,150
양천구,2019-12,1011,607,152
양천구,2020-01,917,579,164
양천구,2020-02,905,574,148
양천구,2020-03,906,540,153
양천구,2020-04,1011,533,160
양천구,2020-05,1053,566,153
양천구,2020-06,1144,591,142
양천구,2020-07,1224,606,166
양천구,2020-08,1230,602,167
양천구,2020-09,1087,631,175
양천구,2020-10,1187,630,156
양천구,2020-11,1376,684,163
양천구,2020-12,1433,708,128
양천구,2021-01,1393,679,164
양천구,2021-02,1433,671,153
양천구,2021-03,1351,662,163
양천구,2021-04,1610,647,170
양천구,2021-05,1139,694,169
양천구,2021-06,1318,624,163
양천구,2021-07,1240,679,148
양천구,2021-08,1360,553,155
양천구,2021-09,1303,630,137
양천구,2021-10,1343,663,153
양천구,2021-11,1233,745,148
양천구,2021-12,1421,733,131
