자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
영등포구,2017-01,633,497,265
영등포구,2017-02,660,518,222
영등포구,2017-03,700,510,260
영등포구,2017-04,687,502,242
영등포구,2017-05,694,496,228
영등포구,2017-06,705,504,236
영등포구,2017-07,714,513,231
영등포구,2017-08,701,496,226
영등포구,2017-09,743,518,248
영등포구,2017-10,746,518,213
영등포구,2017-11,775,526,206
영등포구,2017-12,797,529,228
영등포구,2018-01,820,519,265
영등포구,2018-02,788,522,214
영등포구,2018-03,780,522,259
영등포구,2018-04,810,531,236
영등포구,2018-05,829,531,240
영등포구,2018-06,835,521,218
영등포구,2018-07,901,528,195
영등포구,2018-08,898,541,205
영등포구,2018-09,960,530,228
영등포구,2018-10,920,557,228
영등포구,2018-11,887,561,197
영등포구,2018-12,878,560,213
영등포구,2019-01,903,549,262
영등포구,2019-02,895,526,257
영등포구,2019-03,919,561,237
영등포구,2019-04,1017,538,203
영등포구,2019-05,1003,569,225
영등포구,2019-06,1099,615,221
영등포구,2019-07,1026,551,211
영등포구,2019-08,1003,570,204
영등포구,2019-09,1042,567,218
영등포구,2019-10,1072,584,203
영등포구,2019-11,1053,593,206
영등포구,2019-12,1044,593,186
영등포구,2020-01,1038,599,236
영등포구,2020-02,1064,608,184
영등포구,2020-03,1088,590,186
영등포구,2020-04,1076,604,193
영등포구,2020-05,1117,620,193
영등포구,2020-06,1212,607,161
영등포구,2020-07,1170,605,200
영등포구,2020-08,1217,640,191
영등포구,2020-09,1216,644,212
영등포구,2020-10,1222,697,201
영등포구,2020-11,1307,689,147
영등포구,2020-12,1333,692,192
영등포구,2021-01,1357,711,220
영등포구,2021-02,1385,653,230
영등포구,2021-03,1415,663,200
영등포구,2021-04,1412,662,204
영등포구,2021-05,1309,712,208
영등포구,2021-06,1336,721,216
영등포구,2021-07,1421,718,201
영등포구,2021-08,1430,667,191
영등포구,2021-09,1418,697,201
영등포구,2021-10,1401,749,198
영등포구,2021-11,1241,743,177
영등포구,2021-12,1327,733,177
