자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
용산구,2017-01,905,593,140
용산구,2017-02,928,559,116
용산구,2017-03,914,557,136
용산구,2017-04,939,576,130
용산구,2017-05,996,578,106
용산구,2017-06,988,573,117
용산구,2017-07,1008,566,119
용산구,2017-08,993,568,131
용산구,2017-09,1145,605,126
용산구,2017-10,1055,584,115
용산구,2017-11,1161,596,134
용산구,2017-12,1117,617,94
용산구,2018-01,1088,605,127
용산구,2018-02,1077,596,124
용산구,2018-03,1146,586,118
용산구,2018-04,1227,617,122
용산구,2018-05,1139,607,117
용산구,2018-06,1153,626,121
용산구,2018-07,1294,607,110
용산구,2018-08,1328,604,100
용산구,2018-09,1335,626,122
용산구,2018-10,1393,605,115
용산구,2018-11,1458,647,110
용산구,2018-12,1320,648,91
용산구,2019-01,1533,643,140
용산구,2019-02,1503,600,102
용산구,2019-03,1334,642,110
용산구,2019-04,1400,650,118
용산구,2019-05,1554,679,116
용산구,2019-06,1452,631,104
용산구,2019-07,1477,642,109
용산구,2019-08,1467,633,105
용산구,2019-09,1483,659,98
용산구,2019-10,1475,630,110
용산구,2019-11,1456,645,122
용산구,2019-12,1422,675,80
용산구,2020-01,1447,662,118
용산구,2020-02,1450,646,90
용산구,2020-03,1463,637,110
용산구,2020-04,1408,681,103
용산구,2020-05,1514,670,107
용산구,2020-06,1536,678,93
용산구,2020-07,1611,718,93
용산구,2020-08,1693,716,87
용산구,2020-09,1684,746,110
용산구,2020-10,1698,728,91
용산구,2020-11,1679,785,81
용산구,2020-12,1682,780,93
용산구,2021-01,1738,769,109
용산구,2021-02,1788,773,99
용산구,2021-03,1859,769,140
용산구,2021-04,1799,770,99
용산구,2021-05,1902,832,101
용산구,2021-06,1859,906,94
용산구,2021-07,1955,833,104
용산구,2021-08,1937,829,101
용산구,2021-09,2049,774,105
용산구,2021-10,2175,824,108
용산구,2021-11,2208,809,93
용산구,2021-12,2272,817,95
