자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
은평구,2017-01,565,359,296
은평구,2017-02,529,373,249
은평구,2017-03,530,367,298
은평구,2017-04,541,403,236
은평구,2017-05,551,413,229
은평구,2017-06,558,436,248
은평구,2017-07,573,466,219
은평구,2017-08,553,457,237
은평구,2017-09,578,449,260
은평구,2017-10,587,466,228
은평구,2017-11,611,454,219
은평구,2017-12,610,440,211
은평구,2018-01,632,431,266
은평구,2018-02,619,416,201
은평구,2018-03,630,434,246
은평구,2018-04,610,391,240
은평구,2018-05,635,447,222
은평구,2018-06,623,450,205
은평구,2018-07,622,356,239
은평구,2018-08,631,421,268
은평구,2018-09,636,396,224
은평구,2018-10,621,460,204
은평구,2018-11,636,469,205
은평구,2018-12,622,489,183
은평구,2019-01,645,465,246
은평구,2019-02,669,447,218
은평구,2019-03,649,442,205
은평구,2019-04,650,462,218
은평구,2019-05,679,467,223
은평구,2019-06,660,469,210
은평구,2019-07,676,476,200
은평구,2019-08,731,477,188
은평구,2019-09,762,460,195
은평구,2019-10,774,486,180
은평구,2019-11,773,507,170
은평구,2019-12,779,490,154
은평구,2020-01,773,517,200
은평구,2020-02,751,475,198
은평구,2020-03,732,516,194
은평구,2020-04,709,489,186
은평구,2020-05,745,550,178
은평구,2020-06,838,553,161
은평구,2020-07,840,513,166
은평구,2020-08,875,532,175
은평구,2020-09,838,439,194
은평구,2020-10,888,587,164
은평구,2020-11,970,584,163
은평구,2020-12,980,582,165
은평구,2021-01,1032,564,179
은평구,2021-02,957,518,164
은평구,2021-03,957,550,209
은평구,2021-04,901,557,198
은평구,2021-05,1000,592,186
은평구,2021-06,1025,573,186
은평구,2021-07,1101,653,155
은평구,2021-08,1119,587,161
은평구,2021-09,1146,530,177
은평구,2021-10,1126,572,149
은평구,2021-11,1093,594,159
은평구,2021-12,1174,626,153
