자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
종로구,2017-01,709,656,75
종로구,2017-02,682,597,45
종로구,2017-03,699,654,53
종로구,2017-04,673,670,54
종로구,2017-05,667,656,54
종로구,2017-06,697,646,60
종로구,2017-07,659,670,59
종로구,2017-08,691,629,66
종로구,2017-09,747,611,52
종로구,2017-10,713,586,58
종로구,2017-11,717,597,53
종로구,2017-12,738,629,60
종로구,2018-01,766,593,65
종로구,2018-02,738,556,47
종로구,2018-03,747,505,60
종로구,2018-04,707,497,51
종로구,2018-05,691,582,50
종로구,2018-06,761,574,49
종로구,2018-07,752,561,40
종로구,2018-08,815,569,61
종로구,2018-09,837,556,56
종로구,2018-10,749,547,61
종로구,2018-11,803,604,65
종로구,2018-12,702,632,39
종로구,2019-01,827,704,55
종로구,2019-02,929,729,48
종로구,2019-03,817,721,64
종로구,2019-04,886,753,57
종로구,2019-05,898,621,54
종로구,2019-06,974,692,56
종로구,2019-07,1185,705,62
종로구,2019-08,1015,678,49
종로구,2019-09,1067,642,64
종로구,2019-10,1062,673,59
종로구,2019-11,1055,701,60
종로구,2019-12,1024,696,45
종로구,2020-01,859,691,60
종로구,2020-02,889,633,47
종로구,2020-03,962,640,40
종로구,2020-04,858,618,48
종로구,2020-05,1028,636,51
종로구,2020-06,1068,630,40
종로구,2020-07,1068,727,38
종로구,2020-08,1288,687,48
종로구,2020-09,1040,671,50
종로구,2020-10,844,705,45
종로구,2020-11,1207,761,33
종로구,2020-12,1289,765,29
종로구,2021-01,1142,841,48
종로구,2021-02,1269,812,48
종로구,2021-03,1112,803,49
종로구,2021-04,1221,746,54
종로구,2021-05,1209,848,48
종로구,2021-06,1139,845,50
종로구,2021-07,1303,848,55
종로구,2021-08,1323,834,38
종로구,2021-09,1272,794,33
종로구,2021-10,1378,877,42
종로구,2021-11,1183,774,40
종로구,2021-12,1390,799,33
