자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
중구,2017-01,709,563,78
중구,2017-02,741,566,72
중구,2017-03,756,543,89
중구,2017-04,723,579,69
중구,2017-05,742,554,92
중구,2017-06,755,618,56
중구,2017-07,722,630,55
중구,2017-08,734,637,39
중구,2017-09,816,634,71
중구,2017-10,802,602,61
중구,2017-11,818,632,63
중구,2017-12,817,610,63
중구,2018-01,831,657,56
중구,2018-02,870,616,59
중구,2018-03,846,590,66
중구,2018-04,867,642,69
중구,2018-05,833,660,65
중구,2018-06,859,638,55
중구,2018-07,910,638,55
중구,2018-08,911,651,68
중구,2018-09,948,614,66
중구,2018-10,903,640,60
중구,2018-11,905,661,58
중구,2018-12,906,650,56
중구,2019-01,868,665,80
중구,2019-02,891,676,71
중구,2019-03,876,647,65
중구,2019-04,956,656,58
중구,2019-05,945,647,70
중구,2019-06,965,689,57
중구,2019-07,1011,686,59
중구,2019-08,1032,711,70
중구,2019-09,1045,664,53
중구,2019-10,1042,647,76
중구,2019-11,1057,668,77
중구,2019-12,1108,736,47
중구,2020-01,992,725,68
중구,2020-02,1087,669,62
중구,2020-03,1011,692,55
중구,2020-04,1061,718,57
중구,2020-05,1077,695,49
중구,2020-06,1113,755,65
중구,2020-07,1120,733,76
중구,2020-08,1197,743,58
중구,2020-09,1172,835,57
중구,2020-10,1225,743,61
중구,2020-11,1269,827,42
중구,2020-12,1307,802,40
중구,2021-01,1252,829,42
중구,2021-02,1287,846,56
중구,2021-03,1187,843,61
중구,2021-04,1222,920,46
중구,2021-05,1291,884,50
중구,2021-06,1244,897,43
중구,2021-07,1437,941,46
중구,2021-08,1293,861,49
중구,2021-09,1341,819,65
중구,2021-10,1377,834,69
중구,2021-11,1228,825,47
중구,2021-12,1364,847,50
