ÀÚÄ¡±¸, ÀÏÀÚ, ´ÜÀ§¸éÀû(§³)´ç ¸Å¸Å°¡(¸¸¿ø),´ÜÀ§¸éÀû(§³)´ç Àü¼¼°¡(¸¸¿ø), Ãâ»ýÀÚ ¼ö
Áß¶û±¸,2017-01,485,391,262
Áß¶û±¸,2017-02,482,386,230
Áß¶û±¸,2017-03,493,405,247
Áß¶û±¸,2017-04,491,399,251
Áß¶û±¸,2017-05,481,416,233
Áß¶û±¸,2017-06,495,425,239
Áß¶û±¸,2017-07,502,410,228
Áß¶û±¸,2017-08,499,407,203
Áß¶û±¸,2017-09,506,410,222
Áß¶û±¸,2017-10,495,405,207
Áß¶û±¸,2017-11,520,405,214
Áß¶û±¸,2017-12,530,387,208
Áß¶û±¸,2018-01,511,398,246
Áß¶û±¸,2018-02,526,321,207
Áß¶û±¸,2018-03,518,312,205
Áß¶û±¸,2018-04,519,373,231
Áß¶û±¸,2018-05,529,397,189
Áß¶û±¸,2018-06,528,388,193
Áß¶û±¸,2018-07,534,398,185
Áß¶û±¸,2018-08,552,330,208
Áß¶û±¸,2018-09,587,412,202
Áß¶û±¸,2018-10,599,416,223
Áß¶û±¸,2018-11,576,426,192
Áß¶û±¸,2018-12,605,442,165
Áß¶û±¸,2019-01,573,445,233
Áß¶û±¸,2019-02,614,434,201
Áß¶û±¸,2019-03,592,432,197
Áß¶û±¸,2019-04,627,443,219
Áß¶û±¸,2019-05,633,484,180
Áß¶û±¸,2019-06,607,558,187
Áß¶û±¸,2019-07,633,484,203
Áß¶û±¸,2019-08,642,466,158
Áß¶û±¸,2019-09,648,457,162
Áß¶û±¸,2019-10,650,455,174
Áß¶û±¸,2019-11,667,476,169
Áß¶û±¸,2019-12,769,468,161
Áß¶û±¸,2020-01,658,503,179
Áß¶û±¸,2020-02,691,391,157
Áß¶û±¸,2020-03,704,375,145
Áß¶û±¸,2020-04,705,435,182
Áß¶û±¸,2020-05,751,528,146
Áß¶û±¸,2020-06,743,510,147
Áß¶û±¸,2020-07,782,511,167
Áß¶û±¸,2020-08,837,412,144
Áß¶û±¸,2020-09,807,610,151
Áß¶û±¸,2020-10,837,597,176
Áß¶û±¸,2020-11,857,524,134
Áß¶û±¸,2020-12,865,560,145
Áß¶û±¸,2021-01,902,553,181
Áß¶û±¸,2021-02,897,520,135
Áß¶û±¸,2021-03,943,566,150
Áß¶û±¸,2021-04,934,566,163
Áß¶û±¸,2021-05,957,603,159
Áß¶û±¸,2021-06,961,605,161
Áß¶û±¸,2021-07,1009,603,155
Áß¶û±¸,2021-08,1038,602,152
Áß¶û±¸,2021-09,1023,584,148
Áß¶û±¸,2021-10,1033,569,149
Áß¶û±¸,2021-11,1064,551,162
Áß¶û±¸,2021-12,979,538,134
